time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1969-10-25T05:05:41.520Z,33.3405,-119.1101667,6,3.15,ml,12,222,1.123,0.45,ci,ci3326129,2016-01-28T19:47:20.840Z,"15km SSW of Santa Barbara Is., CA",earthquake,1.69,31.61,0.092,6,reviewed,ci,ci
1969-10-24T20:26:43.620Z,33.343,-119.1331667,6,4.63,ml,14,223,1.135,0.54,ci,ci3326128,2018-06-04T20:43:45.000Z,"16km SSW of Santa Barbara Is., CA",earthquake,2.2,31.61,0.038,9,reviewed,ci,ci
1969-10-24T11:23:34.150Z,33.3538333,-119.1306667,6,3.2,ml,11,241,1.126,0.37,ci,ci3326124,2016-01-28T19:47:20.310Z,"15km SSW of Santa Barbara Is., CA",earthquake,1.66,31.61,0.021,4,reviewed,ci,ci
1969-10-24T08:42:52.320Z,33.3353333,-119.1171667,6,3.38,ml,12,224,1.131,0.5,ci,ci3326123,2016-01-28T19:34:38.790Z,"16km SSW of Santa Barbara Is., CA",earthquake,2.81,31.61,0.157,4,reviewed,ci,ci
1969-10-24T08:37:39.690Z,33.4185,-119.0921667,6,3.13,ml,9,236,1.058,0.51,ci,ci3326122,2016-01-28T19:56:05.410Z,"7km SSW of Santa Barbara Is., CA",earthquake,2.46,31.61,0.12,6,reviewed,ci,ci
1969-10-24T08:29:12.420Z,33.3363333,-119.1613333,6,4.85,ml,15,225,1.156,0.52,ci,ci3326120,2018-06-04T20:43:45.000Z,"18km SSW of Santa Barbara Is., CA",earthquake,2.69,31.61,0.08,8,reviewed,ci,ci
1969-10-23T17:31:47.620Z,33.952,-116.722,6,3.13,ml,9,106,0.5446,0.29,ci,ci3326119,2016-01-28T19:56:04.940Z,"7km ENE of Cabazon, CA",earthquake,0.69,31.61,0.245,4,reviewed,ci,ci
1969-10-15T01:28:53.690Z,34.3395,-117.5795,6,3.5,ml,13,94,0.3844,0.55,ci,ci3326076,2016-01-28T19:51:46.830Z,"6km ESE of Wrightwood, CA",earthquake,1.27,31.61,0.069,10,reviewed,ci,ci
1969-10-10T04:41:05.880Z,35.301,-118.5428333,6,2.41,ml,4,145,0.3653,0.18,ci,ci3326069,2016-01-28T19:34:36.670Z,"21km NNW of Tehachapi, CA",earthquake,0.75,31.61,0.074,3,reviewed,ci,ci
1969-10-10T03:56:56.340Z,35.339,-118.5893333,6,2.82,ml,8,122,0.3365,0.56,ci,ci3326067,2016-01-28T19:43:00.420Z,"26km ENE of Arvin, CA",earthquake,2,31.61,0.07,5,reviewed,ci,ci
1969-10-04T01:40:51.860Z,33.9315,-116.7911667,6,2.69,ml,7,102,0.4895,0.4,ci,ci3326684,2016-01-28T19:51:44.870Z,"2km NNW of Cabazon, CA",earthquake,0.94,31.61,0.118,5,reviewed,ci,ci
1969-09-30T19:07:03.100Z,32.6728333,-118.2923333,6,3.24,ml,12,243,1.38,0.53,ci,ci3326296,2016-01-28T19:51:43.310Z,"17km SSE of San Clemente Is. (SE tip), CA",earthquake,5.46,31.61,0.286,9,reviewed,ci,ci
1969-09-27T02:25:54.980Z,32.6576667,-118.2978333,6,3.22,ml,12,236,1.371,0.5,ci,ci3326290,2016-01-28T19:42:58.940Z,"19km SSE of San Clemente Is. (SE tip), CA",earthquake,3.23,31.61,0.349,9,reviewed,ci,ci
1969-09-26T20:57:04.560Z,32.697,-118.2596667,6,2.87,ml,10,233,1.339,0.43,ci,ci3326289,2016-01-28T19:56:02.050Z,"16km SSE of San Clemente Is. (SE tip), CA",earthquake,2.54,31.61,0.129,5,reviewed,ci,ci
1969-09-25T22:52:32.070Z,34.2941667,-117.305,2.21,2.1,mh,10,136,0.3055,0.35,ci,ci10086850,2016-01-28T20:00:19.760Z,"6km NNW of Crestline, CA",earthquake,0.91,3.66,,0,reviewed,ci,ci
1969-09-24T12:01:20.210Z,35.213,-118.9243333,6,2.71,ml,7,134,0.3413,0.6,ci,ci3326280,2016-01-28T20:00:18.780Z,"5km S of Lamont, CA",earthquake,1.85,31.61,0.206,3,reviewed,ci,ci
1969-09-23T21:28:15.940Z,34.9363333,-119.0085,12.43,2.58,ml,8,125,0.11,0.58,ci,ci3326278,2016-01-28T19:47:15.360Z,"7km W of Grapevine, CA",earthquake,1.13,2.83,0.166,5,reviewed,ci,ci
1969-09-22T22:29:31.530Z,34.0908333,-117.4405,3.22,2.5,ml,9,123,0.1111,0.48,ci,ci3326275,2016-01-28T20:04:26.990Z,"2km ESE of Fontana, CA",earthquake,1.2,2.09,0.077,4,reviewed,ci,ci
1969-09-14T15:33:06.880Z,33.9411667,-118.2838333,9.91,2.83,ml,11,162,0.2269,0.66,ci,ci3326191,2016-01-28T20:00:17.220Z,"4km NW of Willowbrook, CA",earthquake,2.91,3.03,0.291,5,reviewed,ci,ci
1969-09-09T20:14:40.830Z,34.268,-116.7901667,6,3.44,ml,12,125,0.5574,0.49,ci,ci3327091,2016-01-28T19:34:30.050Z,"5km E of Big Bear City, CA",earthquake,1.26,31.61,0.084,10,reviewed,ci,ci
1969-09-04T02:58:38.830Z,35.0705,-117.312,6,2.56,mh,6,157,0.4746,0.54,ci,ci3327099,2016-01-28T20:00:16.200Z,"32km ENE of Boron, CA",earthquake,1.85,31.61,0.17,17,reviewed,ci,ci
1969-09-01T11:24:06.570Z,33.3033333,-118.8561667,6,2.74,ml,7,215,1.018,0.47,ci,ci3326988,2016-01-28T19:55:59.100Z,"27km SE of Santa Barbara Is., CA",earthquake,1.92,31.61,0.07,7,reviewed,ci,ci
1969-08-30T04:17:46.590Z,34.04,-117.3001667,8.55,2.49,mh,6,90,0.07785,0.35,ci,ci3326985,2016-01-28T19:34:28.490Z,"1km ENE of Grand Terrace, CA",earthquake,1.16,1.66,0.172,15,reviewed,ci,ci
1969-08-29T17:42:18.030Z,34.0418333,-117.2915,6,3.11,ml,11,121,0.6614,0.37,ci,ci3326983,2016-01-28T20:00:15.660Z,"2km ENE of Grand Terrace, CA",earthquake,0.94,31.61,0.301,8,reviewed,ci,ci
1969-08-25T12:16:57.490Z,34.1723333,-119.7145,6.11,2.4,mh,6,270,0.2678,0.44,ci,ci3326977,2016-01-28T20:00:15.140Z,"23km ENE of Santa Cruz Is. (NW end), CA",earthquake,2.86,2.74,0.211,15,reviewed,ci,ci
1969-08-25T11:30:51.550Z,33.4225,-116.5001667,12.9,3.09,ml,8,88,0.311,0.5,ci,ci3326976,2016-01-28T19:51:39.350Z,"20km NE of Warner Springs, CA",earthquake,1.37,3.19,0.138,3,reviewed,ci,ci
1969-08-24T07:17:01.330Z,33.506,-116.7326667,9.9,3.09,ml,6,139,0.1869,0.39,ci,ci3326972,2016-01-28T19:38:37.060Z,"8km SW of Anza, CA",earthquake,1.91,4.56,0.056,5,reviewed,ci,ci
1969-08-18T00:53:40.430Z,34.2676667,-117.1868333,1.67,2.58,ml,10,125,0.3151,0.53,ci,ci3326961,2016-01-28T20:04:23.130Z,"2km N of Lake Arrowhead, CA",earthquake,1.12,2.4,0.057,4,reviewed,ci,ci
1969-08-15T19:50:54.380Z,34.3385,-118.4276667,6,2.51,ml,10,187,0.2848,0.64,ci,ci3327169,2016-01-28T19:47:12.460Z,"6km N of Pacoima, CA",earthquake,2.6,31.61,0.15,9,reviewed,ci,ci
1969-08-12T01:06:51.810Z,34.8243333,-117.8833333,6,3.47,ml,13,62,0.6164,0.3,ci,ci3327161,2016-01-28T19:34:25.000Z,"10km SSE of Edwards Air Force Base, CA",earthquake,0.74,31.61,0.075,10,reviewed,ci,ci
1969-08-09T15:07:08.340Z,33.9606667,-116.4475,6,2.85,ml,8,135,0.6975,0.63,ci,ci3327160,2016-01-28T19:38:35.570Z,"5km E of Desert Hot Springs, CA",earthquake,1.83,31.61,0.134,5,reviewed,ci,ci
1969-08-08T05:04:10.970Z,35.1536667,-118.9006667,8.94,3.31,ml,10,128,0.2815,0.43,ci,ci3327194,2016-01-28T19:47:11.000Z,"9km SW of Arvin, CA",earthquake,1.17,2.81,0.202,8,reviewed,ci,ci
1969-08-05T11:27:37.510Z,34.1818333,-119.7103333,0.45,2.43,mh,8,237,0.2583,0.28,ci,ci3327190,2016-01-28T20:00:13.640Z,"24km ENE of Santa Cruz Is. (NW end), CA",earthquake,1.1,1,0.152,13,reviewed,ci,ci
1969-07-24T10:36:45.810Z,35.3681667,-118.4936667,6,2.57,mh,7,148,0.2944,0.55,ci,ci3327107,2016-01-28T19:34:22.530Z,"24km S of Bodfish, CA",earthquake,1.83,31.61,0.223,15,reviewed,ci,ci
1969-07-24T01:27:30.010Z,34.4318333,-118.3351667,2.55,2.55,mh,9,121,0.3092,0.4,ci,ci3327106,2016-01-28T19:42:48.690Z,"7km S of Agua Dulce, CA",earthquake,1.97,3.43,0.209,18,reviewed,ci,ci
1969-07-22T21:57:35.210Z,34.1091667,-117.7733333,1.14,3.45,ml,12,131,0.2624,0.32,ci,ci3327103,2016-01-28T20:04:20.230Z,"1km NNW of La Verne, CA",earthquake,0.82,1.59,0.08,8,reviewed,ci,ci
1969-07-17T12:45:40.470Z,33.7088333,-116.7033333,6,2.61,mh,5,145,0.3785,0.53,ci,ci3327288,2016-01-28T19:38:31.990Z,"4km SSE of Idyllwild, CA",earthquake,1.38,31.61,0.12,13,reviewed,ci,ci
1969-07-17T03:00:33.610Z,34.1121667,-117.793,3.11,3.28,ml,13,131,0.2465,0.45,ci,ci3327286,2016-01-28T19:34:21.020Z,"1km ENE of San Dimas, CA",earthquake,1.15,1.74,0.204,7,reviewed,ci,ci
1969-07-16T22:08:03.530Z,35.3638333,-118.5366667,6,2.37,mh,6,157,0.3026,0.42,ci,ci3327283,2016-01-28T19:42:47.270Z,"25km S of Bodfish, CA",earthquake,1.88,31.61,0.133,9,reviewed,ci,ci
1969-07-16T00:48:42.960Z,34.2788333,-117.3141667,8.2,2.32,ml,9,135,0.2891,0.59,ci,ci3327274,2016-01-28T19:51:33.010Z,"5km NNW of Crestline, CA",earthquake,1.57,4.56,0.195,4,reviewed,ci,ci
1969-07-16T00:02:27.690Z,33.6166667,-116.895,6,2.59,mh,6,129,0.2638,0.55,ci,ci3327273,2016-01-28T19:51:32.510Z,"15km S of Valle Vista, CA",earthquake,1.82,31.61,0.323,13,reviewed,ci,ci
1969-07-10T06:38:13.050Z,34.1385,-117.2631667,0.07,2.83,ml,11,90,0.1721,0.41,ci,ci3327265,2016-01-28T19:34:18.960Z,"3km ENE of San Bernardino, CA",earthquake,0.73,1.87,0.183,6,reviewed,ci,ci
1969-07-08T07:40:36.180Z,34.1383333,-118.1658333,0.19,1.83,mh,5,205,0.01101,0.32,ci,ci3327261,2016-01-28T19:42:46.780Z,"3km NNW of South Pasadena, CA",earthquake,1.62,2.06,0.236,10,reviewed,ci,ci
1969-07-03T02:47:36.910Z,32.9058333,-117.5528333,6,3.05,ml,8,229,0.7313,0.6,ci,ci3327249,2016-01-28T20:00:09.590Z,"27km WNW of La Jolla, CA",earthquake,2.98,31.61,0.084,4,reviewed,ci,ci
1969-07-02T17:34:22.390Z,34.3671667,-117.7461667,6,1.99,ml,9,104,0.2955,0.69,ci,ci3327248,2016-01-28T19:55:52.820Z,"10km W of Wrightwood, CA",earthquake,1.44,31.61,0.079,4,reviewed,ci,ci
1969-07-01T22:44:53.180Z,34.3018333,-117.313,6,2.45,ml,9,136,0.3119,0.33,ci,ci3327246,2016-01-28T19:38:30.380Z,"7km NNW of Crestline, CA",earthquake,0.8,31.61,0.076,5,reviewed,ci,ci
1969-06-29T20:20:57.220Z,34.2618333,-117.0566667,6,2.69,ml,8,103,0.8307,0.63,ci,ci3327243,2016-01-28T20:04:18.780Z,"8km NE of Running Springs, CA",earthquake,1.44,31.61,0.487,8,reviewed,ci,ci
1969-06-27T16:58:10.250Z,35.1203333,-118.8005,0.65,3.32,ml,13,118,0.2614,0.42,ci,ci3327210,2016-01-28T20:00:09.090Z,"10km SSE of Arvin, CA",earthquake,0.79,2.13,0.156,10,reviewed,ci,ci
1969-06-26T14:00:32.130Z,34.5225,-118.1868333,0.77,2.17,mh,5,124,0.3165,0.24,ci,ci3327206,2016-01-28T20:04:17.800Z,"6km N of Acton, CA",earthquake,0.8,1.76,0.07,12,reviewed,ci,ci
1969-06-23T20:53:19.270Z,34.5181667,-116.4768333,6,2.96,ml,6,157,0.8272,0.56,ci,ci3327202,2016-01-28T19:34:16.870Z,"37km SW of Ludlow, CA",earthquake,1.42,31.61,0.066,4,reviewed,ci,ci
1969-06-22T09:35:03.520Z,33.9626667,-118.7248333,6,2.78,ml,10,173,0.4956,0.61,ci,ci3327200,2016-01-28T19:42:42.890Z,"8km SSW of Malibu Beach, CA",earthquake,1.9,31.61,0.367,6,reviewed,ci,ci
1969-06-22T09:15:18.810Z,33.9396667,-118.7091667,6,3.66,ml,12,175,0.4929,0.62,ci,ci3327198,2016-01-28T19:47:05.620Z,"10km S of Malibu Beach, CA",earthquake,1.98,31.61,0.277,9,reviewed,ci,ci
1969-06-20T19:27:35.360Z,34.008,-116.631,6,2.78,ml,8,115,0.6186,0.48,ci,ci3327197,2016-01-28T19:47:05.150Z,"6km SW of Morongo Valley, CA",earthquake,1.08,31.61,0.148,4,reviewed,ci,ci
1969-06-19T05:19:58.720Z,33.8868333,-118.4686667,6,2.59,ml,7,170,0.3594,0.36,ci,ci3327349,2016-01-28T19:34:16.370Z,"5km W of Manhattan Beach, CA",earthquake,1.65,31.61,0.192,6,reviewed,ci,ci
1969-06-19T01:28:35.100Z,35.1965,-117.107,6,2.74,mh,5,132,0.268,0.45,ci,ci3327348,2016-01-28T19:34:15.810Z,"34km NNW of Barstow, CA",earthquake,1.35,31.61,0.206,14,reviewed,ci,ci
1969-06-18T18:54:27.800Z,35.0325,-116.9651667,0.25,2.97,ml,8,152,0.2987,0.7,ci,ci3327346,2016-01-28T20:04:16.810Z,"16km NNE of Barstow, CA",earthquake,3.96,8.11,0.095,3,reviewed,ci,ci
1969-06-13T01:54:15.880Z,35.1353333,-118.6818333,6,2.81,ml,7,162,0.3185,0.61,ci,ci3327330,2016-01-28T19:47:04.660Z,"16km ESE of Arvin, CA",earthquake,1.93,31.61,0.063,5,reviewed,ci,ci
1969-06-13T01:22:41.920Z,35.2293333,-117.1486667,0,2.92,mh,8,106,0.2898,0.53,ci,ci3327329,2016-01-28T19:55:50.190Z,"38km NNW of Barstow, CA",earthquake,1.32,3.69,0.109,18,reviewed,ci,ci
1969-06-11T14:03:53.660Z,34.2215,-116.2851667,6,3.56,ml,9,154,0.7426,0.43,ci,ci3327320,2016-01-28T19:34:14.330Z,"10km NNE of Joshua Tree, CA",earthquake,1.18,31.61,0.076,7,reviewed,ci,ci
1969-06-10T02:54:28.100Z,35.021,-117.693,6,2.36,mh,7,133,0.7791,0.39,ci,ci3327315,2016-01-28T19:38:28.200Z,"5km WNW of Boron, CA",earthquake,1.41,31.61,0.073,13,reviewed,ci,ci
1969-06-08T19:35:15.530Z,34.1671667,-118.3466667,0.01,2.26,mh,3,244,0.1467,0.26,ci,ci3327310,2016-01-28T19:34:13.100Z,"3km E of North Hollywood, CA",earthquake,2.65,7.05,0.054,8,reviewed,ci,ci
1969-06-08T12:03:23.360Z,34.0015,-118.1423333,3.28,1.89,mh,4,244,0.1485,0.36,ci,ci3327304,2016-01-28T20:00:07.660Z,"2km E of Commerce, CA",earthquake,2.63,1.82,0.114,8,reviewed,ci,ci
1969-06-08T03:37:53.400Z,34.1395,-117.4246667,4.8,3.16,ml,14,108,0.1512,0.53,ci,ci3327301,2016-01-28T19:55:48.140Z,"6km NNE of Fontana, CA",earthquake,0.99,1.53,0.174,8,reviewed,ci,ci
1969-06-07T18:30:23.630Z,34.3353333,-117.5848333,6,2.38,ml,6,115,0.3826,0.36,ci,ci3327557,2016-01-28T19:34:12.120Z,"5km ESE of Wrightwood, CA",earthquake,1.1,31.61,0.039,4,reviewed,ci,ci
1969-06-07T07:30:34.760Z,32.8466667,-117.6358333,6,2.55,ml,3,269,0.8227,0.25,ci,ci3327556,2016-01-28T20:04:12.780Z,"34km W of La Jolla, CA",earthquake,2.08,31.61,0.231,3,reviewed,ci,ci
1969-06-06T21:58:44.800Z,33.4468333,-116.4555,6,2.57,ml,6,122,0.3531,0.52,ci,ci3327555,2016-01-28T19:51:29.640Z,"22km NNW of Borrego Springs, CA",earthquake,1.44,31.61,0.244,5,reviewed,ci,ci
1969-06-06T06:23:37.500Z,34.078,-117.5151667,0.48,2.14,ml,8,126,0.1434,0.57,ci,ci3327552,2016-01-28T19:55:47.650Z,"6km WSW of Fontana, CA",earthquake,1.53,2.59,0.065,5,reviewed,ci,ci
1969-06-05T22:35:02.970Z,35.178,-118.4613333,6,2.62,ml,7,137,0.4717,0.56,ci,ci3327551,2016-01-28T19:51:29.160Z,"5km NNW of Tehachapi, CA",earthquake,1.85,31.61,0.132,5,reviewed,ci,ci
1969-05-30T11:24:21.980Z,34.3343333,-117.1135,6,2.75,ml,10,153,0.4034,0.41,ci,ci3327401,2016-01-28T19:42:40.590Z,"12km NE of Lake Arrowhead, CA",earthquake,0.96,31.61,0.231,5,reviewed,ci,ci
1969-05-29T01:48:16.430Z,33.8331667,-117.7253333,6.8,2.74,ml,7,169,0.332,0.33,ci,ci3327399,2016-01-28T20:04:10.660Z,"8km ENE of Villa Park, CA",earthquake,1.12,1.64,0.058,7,reviewed,ci,ci
1969-05-24T08:51:34.990Z,34.5768333,-118.6301667,6,2.21,ml,6,130,0.3686,0.57,ci,ci3327391,2016-01-28T19:51:26.390Z,"10km N of Castaic, CA",earthquake,2.38,31.61,0.023,4,reviewed,ci,ci
1969-05-20T04:16:43.880Z,33.6146667,-116.8803333,2.52,2.86,ml,8,121,0.2608,0.29,ci,ci3327382,2016-01-28T19:34:10.680Z,"15km S of Valle Vista, CA",earthquake,1.09,1.67,0.119,5,reviewed,ci,ci
