time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1969-12-29T21:26:12.160Z,34.19,-119.6926667,6,3.26,ml,8,235,0.2508,0.61,ci,ci3325868,2016-01-28T19:51:59.870Z,"24km NW of Santa Cruz Is. (E end), CA",earthquake,2.79,31.61,0.142,8,reviewed,ci,ci
1969-12-28T18:26:27.170Z,35.0485,-118.9536667,6,2.8,ml,4,153,0.182,0.62,ci,ci3325866,2016-01-28T19:51:59.380Z,"12km N of Grapevine, CA",earthquake,1.96,46.51,0.03,3,reviewed,ci,ci
1969-12-20T17:22:17.850Z,34.2613333,-117.3326667,7.76,2.48,ml,11,88,0.2695,0.43,ci,ci3325860,2016-01-28T19:43:15.700Z,"5km WNW of Crestline, CA",earthquake,1.16,3.63,0.258,5,reviewed,ci,ci
1969-12-20T00:04:52.880Z,33.6688333,-118.0505,6,3.04,ml,12,169,0.4888,0.42,ci,ci3325857,2016-01-28T20:00:34.630Z,"5km WSW of Huntington Beach, CA",earthquake,1.76,31.61,0.091,7,reviewed,ci,ci
1969-12-17T22:24:36.210Z,34.2968333,-117.2976667,0.03,2.33,ml,12,91,0.3094,0.4,ci,ci3325851,2016-01-28T20:04:38.240Z,"6km N of Crestline, CA",earthquake,0.88,3.1,0.245,5,reviewed,ci,ci
1969-12-16T06:01:53.470Z,33.288,-119.0578333,6,2.95,ml,8,242,1.133,0.52,ci,ci3325841,2016-01-28T19:51:57.380Z,"20km S of Santa Barbara Is., CA",earthquake,2.76,31.61,0.104,6,reviewed,ci,ci
1969-12-15T18:11:49.530Z,33.3653333,-119.1255,0.01,3,ml,10,222,1.115,0.47,ci,ci3325840,2016-01-28T19:34:46.890Z,"13km SSW of Santa Barbara Is., CA",earthquake,1.83,31.61,0.103,6,reviewed,ci,ci
1969-12-13T09:46:07.030Z,33.6221667,-116.6971667,10.8,3.09,ml,7,96,0.3014,0.5,ci,ci3325835,2016-01-28T19:38:50.960Z,"8km NNW of Anza, CA",earthquake,1.12,2.63,0.112,5,reviewed,ci,ci
1969-12-12T19:48:29.140Z,34.2488333,-117.2981667,6,2.33,ml,9,102,0.2626,0.58,ci,ci3325818,2016-01-28T20:00:33.140Z,"1km WNW of Crestline, CA",earthquake,1.32,31.61,0.32,5,reviewed,ci,ci
1969-12-08T08:25:45.910Z,33.441,-119.104,6,2.96,ml,9,235,1.049,0.38,ci,ci3325809,2016-01-28T20:04:37.740Z,"5km SW of Santa Barbara Is., CA",earthquake,1.91,31.61,0.023,3,reviewed,ci,ci
1969-12-02T10:49:13.830Z,33.9703333,-118.3561667,0.95,3.25,ml,13,162,0.2348,0.44,ci,ci3325789,2016-01-28T19:43:12.710Z,"2km NNW of Inglewood, CA",earthquake,1.06,1.56,0.109,9,reviewed,ci,ci
1969-11-29T22:55:08.040Z,34.2838333,-117.3031667,0.5,2.08,ml,12,91,0.2957,0.44,ci,ci3325785,2016-04-02T20:02:41.403Z,"5km NNW of Crestline, CA",earthquake,0.88,2.7,0.409,4,reviewed,ci,ci
1969-11-28T07:39:14.670Z,34.2755,-118.7925,6,3.15,ml,7,180,0.4721,0.5,ci,ci3326042,2016-01-28T19:51:55.920Z,"5km W of Simi Valley, CA",earthquake,1.46,31.61,0.166,9,reviewed,ci,ci
1969-11-23T16:42:03.290Z,35.0666667,-118.9291667,3.01,2.92,ml,9,127,0.1962,0.53,ci,ci3326028,2016-01-28T19:34:42.350Z,"14km N of Grapevine, CA",earthquake,1.08,2.64,0.07,7,reviewed,ci,ci
1969-11-20T01:51:04.200Z,33.2595,-119.1923333,6,2.92,ml,9,247,1.229,0.53,ci,ci3326024,2016-01-28T19:38:48.310Z,"26km SSW of Santa Barbara Is., CA",earthquake,2.97,31.61,0.04,6,reviewed,ci,ci
1969-11-15T16:18:12.310Z,34.0045,-116.737,6,3.01,ml,9,109,0.5305,0.46,ci,ci3325969,2016-01-28T19:47:26.770Z,"11km NNE of Cabazon, CA",earthquake,1.16,31.61,0.15,5,reviewed,ci,ci
1969-11-10T04:59:40.270Z,33.3616667,-119.1415,6,3.38,ml,12,223,1.127,0.53,ci,ci3325952,2016-01-28T19:38:47.780Z,"14km SSW of Santa Barbara Is., CA",earthquake,2.13,31.61,0.101,10,reviewed,ci,ci
1969-11-10T03:53:27.700Z,33.3958333,-119.1375,6,3.25,ml,10,221,1.101,0.52,ci,ci3325951,2016-01-28T19:51:53.350Z,"11km SW of Santa Barbara Is., CA",earthquake,2.39,31.61,0.092,10,reviewed,ci,ci
1969-11-08T14:05:59.030Z,33.3831667,-119.2035,6,2.95,ml,8,224,1.137,0.52,ci,ci3325942,2016-01-28T19:51:52.360Z,"16km SW of Santa Barbara Is., CA",earthquake,2.71,31.61,0.077,6,reviewed,ci,ci
1969-11-08T01:29:56.660Z,34.9,-119.3365,16.91,2.86,ml,5,150,0.5542,0.4,ci,ci3325939,2016-01-28T19:43:09.320Z,"18km WNW of Pine Mountain Club, CA",earthquake,1.82,34.37,0.189,6,reviewed,ci,ci
1969-11-06T07:18:30.150Z,32.6801667,-117.9153333,6,3.07,ml,9,229,1.048,0.62,ci,ci3325916,2016-01-28T19:51:51.860Z,"43km ESE of San Clemente Is. (SE tip), CA",earthquake,3.47,31.61,0.03,5,reviewed,ci,ci
1969-11-04T14:32:20.040Z,35.3288333,-118.5045,6,2.9,ml,8,86,0.3341,0.54,ci,ci3325885,2016-01-28T19:56:10.070Z,"22km NNW of Tehachapi, CA",earthquake,1.58,31.61,0.095,7,reviewed,ci,ci
1969-11-02T21:52:59.900Z,34.2628333,-117.1546667,6,2.46,mh,6,149,0.3251,0.28,ci,ci3325882,2016-01-28T20:04:33.340Z,"4km ENE of Lake Arrowhead, CA",earthquake,0.87,31.61,0.163,10,reviewed,ci,ci
1969-10-31T11:04:55.680Z,33.4043333,-119.1285,6,3.04,ml,10,239,1.089,0.35,ci,ci3326171,2016-01-28T19:38:46.780Z,"10km SW of Santa Barbara Is., CA",earthquake,1.75,31.61,0.118,5,reviewed,ci,ci
1969-10-31T10:39:29.510Z,33.4605,-119.1321667,6,4.6,ml,13,232,1.054,0.73,ci,ci3326170,2018-06-04T20:43:45.000Z,"7km W of Santa Barbara Is., CA",earthquake,3.8,31.61,0.16,10,reviewed,ci,ci
1969-10-29T10:32:30.020Z,33.3165,-119.1765,6,2.94,ml,11,244,1.179,0.5,ci,ci3326160,2016-01-28T19:47:22.400Z,"20km SSW of Santa Barbara Is., CA",earthquake,2.15,31.61,0.032,4,reviewed,ci,ci
1969-10-28T22:30:01.440Z,33.3996667,-119.1366667,6,2.92,ml,12,239,1.098,0.52,ci,ci3326159,2016-01-28T19:51:49.350Z,"11km SW of Santa Barbara Is., CA",earthquake,2.09,31.61,0.206,7,reviewed,ci,ci
1969-10-28T07:03:48.440Z,33.3845,-119.1346667,6,3.02,ml,11,239,1.107,0.51,ci,ci3326155,2016-01-28T20:04:32.840Z,"12km SW of Santa Barbara Is., CA",earthquake,2.04,31.61,0.332,9,reviewed,ci,ci
1969-10-27T15:32:04.460Z,33.3343333,-119.0511667,16.97,3.11,ml,10,240,1.094,0.44,ci,ci3326151,2016-01-28T19:47:21.870Z,"15km S of Santa Barbara Is., CA",earthquake,1.67,1.92,0.19,4,reviewed,ci,ci
1969-10-27T13:16:02.140Z,33.5258333,-117.8001667,6,4.4,ml,14,169,0.5855,0.41,ci,ci3326147,2018-06-04T20:43:45.000Z,"2km SW of Laguna Beach, CA",earthquake,1.41,31.61,0.138,6,reviewed,ci,ci
1969-10-26T14:26:53.570Z,33.3373333,-119.1315,6,3.78,ml,13,224,1.138,0.57,ci,ci3326142,2016-01-28T19:38:45.150Z,"16km SSW of Santa Barbara Is., CA",earthquake,2.53,31.61,0.143,9,reviewed,ci,ci
1969-10-26T10:14:06.300Z,33.3573333,-119.1211667,6,3.88,ml,13,236,1.118,0.44,ci,ci3326140,2016-01-28T19:38:44.620Z,"14km SSW of Santa Barbara Is., CA",earthquake,1.94,31.61,0.071,9,reviewed,ci,ci
1969-10-26T09:41:55.110Z,33.3606667,-119.1613333,6,3.94,ml,14,223,1.139,0.41,ci,ci3326139,2016-01-28T19:43:03.280Z,"15km SW of Santa Barbara Is., CA",earthquake,1.76,31.61,0.182,9,reviewed,ci,ci
1969-10-25T20:17:55.120Z,33.2846667,-119.1536667,6,3,ml,9,245,1.189,0.52,ci,ci3326135,2016-01-28T19:43:02.780Z,"22km SSW of Santa Barbara Is., CA",earthquake,2.4,31.61,0.19,4,reviewed,ci,ci
1969-10-25T19:42:46.060Z,33.3321667,-119.1843333,6,3.37,ml,14,226,1.173,0.58,ci,ci3326134,2016-01-28T19:43:02.280Z,"19km SW of Santa Barbara Is., CA",earthquake,2.28,31.61,0.132,6,reviewed,ci,ci
1969-10-25T12:37:44.870Z,33.3241667,-119.1398333,6,3.04,ml,9,243,1.152,0.39,ci,ci3326133,2016-01-28T19:47:21.330Z,"18km SSW of Santa Barbara Is., CA",earthquake,2.32,31.61,0.094,5,reviewed,ci,ci
1969-10-25T12:11:39.660Z,33.3401667,-119.063,6,3.21,ml,9,240,1.096,0.47,ci,ci3326132,2016-01-28T19:56:05.960Z,"15km S of Santa Barbara Is., CA",earthquake,2.06,31.61,0.107,5,reviewed,ci,ci
1969-10-25T11:08:07.910Z,33.3771667,-119.1325,6,3.12,ml,11,222,1.11,0.57,ci,ci3326131,2016-01-28T19:34:39.330Z,"12km SSW of Santa Barbara Is., CA",earthquake,2.22,31.61,0.093,4,reviewed,ci,ci
1969-10-25T08:15:26.570Z,34.3095,-117.1291667,6,2.96,ml,11,101,0.3756,0.48,ci,ci3326130,2016-01-28T20:04:31.390Z,"9km NE of Lake Arrowhead, CA",earthquake,0.89,31.61,0.083,5,reviewed,ci,ci
