time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1959-10-03T20:41:03.760Z,34.996,-117.0813333,6,2.83,ml,6,167,1.234,0.58,ci,ci3297222,2016-01-28T18:29:32.010Z,"12km NNW of Barstow, CA",earthquake,2.03,31.61,0.065,9,reviewed,ci,ci
1959-10-01T11:53:06.690Z,34.3123333,-118.0498333,6,2.46,ml,3,281,0.1919,0.85,ci,ci3297220,2016-04-01T20:55:41.095Z,"16km NNE of Altadena, CA",earthquake,8.05,31.61,0.097,2,reviewed,ci,ci
1959-10-01T05:52:55.140Z,34.2471667,-119.438,5.9,3.22,ml,7,200,,0.19,ci,ci3297216,2016-01-28T17:57:19.760Z,"18km SSE of Carpinteria, CA",earthquake,0.94,0.98,0.222,10,reviewed,ci,ci
1959-09-29T04:10:39.170Z,33.9515,-118.3513333,0.18,2.21,mh,5,163,0.1993,0.54,ci,ci3297211,2016-01-28T18:29:31.000Z,"1km SW of Inglewood, CA",earthquake,1.58,1.96,0.14,11,reviewed,ci,ci
1959-09-23T05:32:26.380Z,35.2738333,-118.601,6,3,ml,8,102,0.4017,0.52,ci,ci3297206,2016-01-28T18:06:24.830Z,"21km NW of Tehachapi, CA",earthquake,0.97,31.61,0.087,9,reviewed,ci,ci
1959-09-11T18:25:45.560Z,33.8773333,-118.4025,6,2.06,mh,3,238,0.3317,0.73,ci,ci3297195,2016-01-28T18:01:42.540Z,"1km SE of Manhattan Beach, CA",earthquake,3.98,31.61,0.04,9,reviewed,ci,ci
1959-09-09T01:40:35.860Z,35.3478333,-118.6096667,6,2.97,ml,8,98,0.3332,0.64,ci,ci3297193,2016-01-28T18:11:05.990Z,"25km NE of Arvin, CA",earthquake,1.49,31.61,0.099,11,reviewed,ci,ci
1959-09-04T14:26:01.050Z,33.9083333,-117.3721667,8.2,2.48,ml,6,143,0.085,0.42,ci,ci3297191,2016-01-28T18:15:48.890Z,"3km NNW of Woodcrest, CA",earthquake,1.75,2.14,0.155,5,reviewed,ci,ci
1959-08-30T16:51:32.820Z,35.244,-118.5958333,6,3.4,ml,11,86,,0.62,ci,ci3297189,2016-01-28T18:15:48.360Z,"18km NW of Tehachapi, CA",earthquake,1.44,31.61,0.047,11,reviewed,ci,ci
1959-08-27T00:23:57.720Z,34.0666667,-116.534,6,3.2,ml,7,163,0.7026,0.48,ci,ci3297187,2016-01-28T18:15:47.840Z,"5km ENE of Morongo Valley, CA",earthquake,1.45,31.61,0.135,8,reviewed,ci,ci
1959-08-26T05:32:50.950Z,34.0166667,-116.565,6,4.33,ml,10,134,,0.52,ci,ci3297186,2016-01-28T18:15:47.270Z,"4km SSE of Morongo Valley, CA",earthquake,1.33,31.61,0.052,11,reviewed,ci,ci
1959-08-24T07:58:59.430Z,34.0346667,-117.7831667,1.36,2.99,ml,11,98,,0.46,ci,ci3297185,2016-01-28T18:11:05.460Z,"3km ENE of Diamond Bar, CA",earthquake,1.31,1.63,0.209,8,reviewed,ci,ci
